adult,budget,genres,original_language,popularity,revenue,runtime,vote_average,vote_count,release_strategy,director_popularity,lead_actor_popularity,avg_top5_cast_popularity,imdb_rating,imdb_votes,period,roi,collection_flag,production_companies_count_cat,origin_country_count_cat,production_countries_count_cat,spoken_languages_count_cat
0,15000000,"['Action', 'Comedy', 'Adventure', 'Romance']",en,1.6905,933847,98,5.72,1089,streaming,,,,,,Before COVID,-0.9377435333333334,0,2,1,1,1
0,25868826,"['Comedy', 'Fantasy']",fr,3.3334,18552314,110,4.2,705,unknown,0.8713,4.8174,1.81336,4.6,5184.0,Before COVID,-0.2828312347842921,1,2,1,1,1
0,35000000,"['Action', 'Crime', 'Thriller']",en,3.8501,81967450,96,5.9,3180,theatrical,,,,,,Before COVID,1.3419271428571429,1,2,1,2,1
0,0,['Drama'],en,3.8682,3002884,106,7.013,597,unknown,,,,,,Before COVID,,0,2,1,1,1
0,2000000,"['Drama', 'Romance', 'Comedy']",en,6.7241,1477002,102,6.6,769,theatrical,,,,,,Before COVID,-0.261499,0,2,1,1,2
0,14500000,"['Drama', 'Romance']",en,3.5331,30300000,119,7.0,1079,theatrical,,,,,,Before COVID,1.089655172413793,0,2,2,1,2
0,0,"['Drama', 'Thriller']",en,2.9508,228892,91,5.6,249,theatrical,,,,,,Before COVID,,0,2,2,1,1
0,10000000,"['Comedy', 'Drama', 'Mystery']",en,0.9317,17287309,97,6.0,1159,theatrical,,,,,,Before COVID,0.7287309,0,2,1,1,1
0,23000000,['Comedy'],en,4.6816,79799880,101,6.456,1643,theatrical,,,,,,Before COVID,2.46956,0,2,1,1,1
0,0,['Drama'],en,6.9882,658532,118,5.7,412,theatrical,,,,,,Before COVID,,0,2,2,2,2
0,10000,"['Comedy', 'Drama', 'Crime']",en,0.167,13684,97,5.328,61,unknown,,,,,,Before COVID,0.3684,0,2,1,1,1
0,0,"['Comedy', 'Romance']",en,1.1405,2400000,99,5.6,597,unknown,,,,,,Before COVID,,0,2,1,2,1
0,55000000,"['Adventure', 'Drama', 'History']",en,4.0919,203427584,121,6.8,5085,theatrical,,,,,,Before COVID,2.6986833454545454,0,2,2,2,1
0,15000000,"['Comedy', 'Music', 'War']",en,4.6705,3020664,100,5.391,359,theatrical,,,,,,Before COVID,-0.7986224,0,2,1,2,1
